Constituency,Median Purchase Price (£)
Altrincham and Sale West,340000
Ashton-under-Lyne,135250
Blackley and Broughton,135000
Bolton North East,178000
Bolton South East,137125
Bolton West,155000
Bury North,159725
Bury South,180000
Cheadle,290000
Denton and Reddish,154500
Hazel Grove,225000
Heywood and Middleton,144725
Leigh,155000
Makerfield,135350
Manchester Central,178000
"Manchester, Gorton",155000
"Manchester, Withington",264000
Oldham East and Saddleworth,137000
Oldham West and Royton,126500
Rochdale,127500
Salford and Eccles,157717
Stalybridge and Hyde,152750
Stockport,189500
Stretford and Urmston,215000
Wigan,140000
Worsley and Eccles South,164500
Wythenshawe and Sale East,185000
